Issn,Title,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,HJRS Category
15209210,ieee transactions on multimedia,13,2.49,"2,735",135,8.182,0.02022,Q1,W
"15564967, 15564959",journal of field robotics,12.9,2.761,"2,342",100,6.385,0.00397,Q1,W
20524463,scientific data,12.6,3.402,"2,468",80,8.501,0.04575,Q1,W
1741038X,journal of manufacturing technology management,12.4,2.181,"1,898",76,8.144,0.00251,Q1,W
1681699,computers and electronics in agriculture,11.8,2.38,"1,595",133,6.757,0.02006,Q1,W
23659440,international journal of educational technology in higher education,11.8,4.303,"2,102",38,7.611,0.00332,Q1,W
23986352,npj digital medicine,11.8,3.717,"3,326",28,15.357,0.01291,Q1,W
2047217X,gigascience,11.6,1.905,"2,568",64,7.658,0.01707,Q1,W
"00189286, 15582523",ieee transactions on automatic control,11.4,2.651,"4,172",300,6.549,0.05356,Q1,W
"09240136, 18734774",journal of materials processing technology,11.3,2.168,"1,578",201,6.162,0.02048,Q1,W
"21682208, 21682194",ieee journal of biomedical and health informatics,10.9,2.274,"1,799",137,7.021,0.01413,Q1,W
"14355663, 01770667",engineering with computers,10.7,1.862,"0,957",60,8.083,0.00647,Q2,W
"18861784, 11343060",archives of computational methods in engineering,10.4,3.253,"1,616",71,8.171,0.00598,Q1,W
"15731391, 09241868",user modeling and user-adapted interaction,10.4,3.188,"1,530",76,4.23,0.00107,Q1,W
457825,computer methods in applied mechanics and engineering,10.3,2.039,"2,179",205,6.588,0.03881,Q1,W
190578,isa transactions,10.2,1.851,"1,474",88,5.911,0.01492,Q1,W
8873801,journal of computing in civil engineering,10.2,1.825,"1,343",83,5.802,0.00389,Q1,W
"15499626, 15499618",journal of chemical theory and computation,10,1.475,"1,619",193,6.578,0.04127,Q1,W
"10773142, 1090235X",computer vision and image understanding,9.9,1.928,"1,916",139,4.886,0.00612,Q1,W
"01692607, 18727565",computer methods and programs in biomedicine,9.7,2.079,"1,329",115,7.027,0.0156,Q1,W
"10468188, 15582868",acm transactions on information systems,9.6,2.707,"1,585",84,4.657,0.00177,Q1,W
"17262135, 16848799",journal of environmental informatics,9.6,1.693,"1,694",33,10.22,0.00106,Q1,W
11108665,egyptian informatics journal,9.3,2.532,"1,144",38,4.195,0.00062,Q1,W
"15465012, 15462234",journal of organizational and end user computing,9.2,4.814,"1,209",36,7.4,0.00053,Q1,W
9505849,information and software technology,9.1,2.271,"1,446",107,3.862,0.0049,Q1,W
17511577,journal of informetrics,9,2.228,"1,437",77,4.373,0.00578,Q1,W
"14228890, 10196781",electronic markets,8.9,1.873,"1,033",41,6.017,0.00176,Q1,W
1651684,signal processing,8.9,1.701,"1,295",144,4.729,0.0172,Q1,W
"18669964, 18669956",cognitive computation,8.6,1.515,"1,348",56,4.89,0.0029,Q1,W
"17443210, 09588221",computer assisted language learning,8.4,2.63,"1,839",54,5.964,0.00325,Q1,W
9574158,mechatronics,8.3,1.855,"1,175",94,3.379,0.00441,Q1,W
"00104825, 18790534",computers in biology and medicine,8.2,1.945,"1,309",102,6.698,0.0143,Q1,W
"17517583, 17517575",enterprise information systems,8.2,1.557,"0,868",50,4.407,0.0016,Q2,W
"15320480, 15320464",journal of biomedical informatics,8.2,1.788,"1,128",112,8,0.01389,Q1,W
"03741052, 0094114X",mechanism and machine theory,8.2,2.294,"1,502",115,4.93,0.00946,Q1,W
16625196,frontiers in neuroinformatics,8.1,1.563,"1,111",66,3.739,0.00442,Q1,W
20567189,npj systems biology and applications,8.1,1.066,"1,390",25,4.671,0.00239,Q1,W
9218890,robotics and autonomous systems,8.1,1.684,"1,202",126,3.7,0.00734,Q1,W
"15528286, 08944393",social science computer review,8.1,2.4,"1,503",78,4.418,0.00463,Q1,W
"15583457, 15369323",journal of the association for information systems,7.9,2.076,"2,248",85,5.346,0.0037,Q1,W
9670661,control engineering practice,7.8,1.702,"1,320",125,4.057,0.00772,Q1,W
23795077,msystems,7.8,1.429,"2,144",54,7.324,0.01863,Q1,W
1070986X,ieee multimedia,7.7,1.602,"0,907",69,3.491,0.00113,Q2,W
"1549960X, 15499596",journal of chemical information and modeling,7.7,1.339,"1,223",169,6.162,0.02108,Q1,W
9591524,journal of process control,7.6,1.602,"1,131",118,3.951,0.00502,Q1,W
"18681751, 18681743",molecular informatics,7.6,1.005,"0,616",70,4.05,0.00228,Q2,W
"20474938, 20474946",iet biometrics,7.5,1.346,"0,951",33,2.716,0.00114,Q2,W
19391382,ieee transactions on learning technologies,7.4,2.044,"1,288",51,4.433,0.00185,Q1,W
"09696016, 14753995",international transactions in operational research,7.4,1.732,"1,112",56,3.61,0.0034,Q1,W
"1618727X, 08971889",journal of digital imaging,7.4,1.621,"0,978",63,4.903,0.00475,Q2,W
"0266352X, 18737633",computers and geotechnics,7.3,2.346,"1,694",109,5.218,0.01656,Q1,W
"15327590, 10447318",international journal of human-computer interaction,7.3,2.042,"0,963",76,4.92,0.0049,Q2,W
10897798,ieee communications letters,7.2,1.357,"1,712",150,3.553,0.02527,Q1,W
10494820,interactive learning environments,7.2,1.761,"1,165",49,4.965,0.0049,Q1,W
"0951192X, 13623052",international journal of computer integrated manufacturing,7.2,1.409,"1,095",59,4.42,0.00257,Q1,W
"15414140, 07356331",journal of educational computing research,7.2,1.889,"1,279",64,4.345,0.00241,Q1,W
18745482,international journal of critical infrastructure protection,7.1,1.784,"0,777",40,3.683,0.00069,Q2,W
"10902716, 00219991",journal of computational physics,7.1,1.933,"2,069",260,4.645,0.04576,Q1,W
"13652729, 02664909",journal of computer assisted learning,7,1.964,"1,491",98,3.761,0.00358,Q1,W
"15361241, 15582639",ieee transactions on nanobioscience,6.9,0.961,"0,873",65,3.206,0.00247,Q2,W
"14220067, 16616596",international journal of molecular sciences,6.9,1.401,"1,176",195,6.208,0.24907,Q1,W
"15734951, 0920654X",journal of computer-aided molecular design,6.9,0.943,"0,763",104,4.179,0.00301,Q2,W
"17579880, 17579899",journal of hospitality and tourism technology,6.9,1.463,"1,205",34,5.576,0.00116,Q1,W
"19411197, 19391390",ieee intelligent transportation systems magazine,6.8,1.846,"0,993",45,5.293,0.00195,Q1,W
"15540170, 02681102",information technology for development,6.7,1.625,"1,008",41,4.261,0.00144,Q1,W
"17538955, 17538947",international journal of digital earth,6.7,1.352,"0,903",50,4.606,0.00295,Q2,W
"14332825, 14332833",international journal on document analysis and recognition,6.7,2.087,"1,556",52,3.87,0.00041,Q1,W
21931127,epj data science,6.5,1.651,"1,071",34,3.63,0.00296,Q1,W
1697439,chemometrics and intelligent laboratory systems,6.4,1.316,"0,733",132,4.175,0.00578,Q2,W
"21617856, 2161783X",games for health journal,6.4,1.483,"0,933",35,4.07,0.0016,Q2,W
"02683768, 14333015",international journal of advanced manufacturing technology,6.4,1.368,"0,924",134,3.563,0.03811,Q2,W
2628856,image and vision computing,6.3,1.524,"1,159",135,3.86,0.00417,Q1,W
"00189448, 15579654",ieee transactions on information theory,6.2,1.735,"1,731",279,2.978,0.02451,Q1,W
19442866,policy and internet,6.2,2.025,"1,445",30,4.51,0.00158,Q1,W
"17518644, 17518652",iet control theory and applications,6.1,0.879,"0,984",113,2.67,0.01161,Q1,W
12962074,journal of cultural heritage,6.1,1.794,"0,722",70,3.229,0.00499,Q2,W
10473203,journal of visual communication and image representation,6.1,1.131,"0,827",84,2.887,0.00645,Q2,W
"17381584, 17381991",smart structures and systems,6.1,0.901,"0,681",54,4.581,0.00258,Q2,W
20010370,computational and structural biotechnology journal,6,1.394,"1,538",53,6.155,0.00945,Q1,W
"13845640, 1573272X",multibody system dynamics,6,1.88,"0,975",66,3.333,0.00172,Q2,W
14712105,bmc bioinformatics,5.9,1.105,"1,246",218,3.307,0.03801,Q1,W
1531636X,ieee circuits and systems magazine,5.8,1.468,"0,901",55,4.04,0.00055,Q2,W
"19401507, 19401493",journal of building performance simulation,5.7,1.06,"0,814",44,2.867,0.00137,Q2,W
9583440,recall,5.7,2.902,"1,343",57,4.235,0.00089,Q1,W
13881957,ethics and information technology,5.6,2.922,"1,328",58,3.633,0.00228,Q1,W
"15882861, 01389130",scientometrics,5.6,1.62,"0,929",123,3.801,0.01406,Q2,W
1536125X,ieee transactions on nanotechnology,5.5,1.043,"0,577",85,2.967,0.00364,Q2,W
1676393,speech communication,5.5,1.322,"0,610",110,2.723,0.00219,Q2,W
22145796,big data research,5.4,1.899,"0,994",29,3.739,0.00081,Q1,W
"0305215X, 10290273",engineering optimization,5.4,1.24,"0,669",69,2.5,0.00334,Q2,W
"23294051, 19391412",ieee transactions on haptics,5.2,1.435,"1,101",54,3.105,0.00175,Q1,W
"17519640, 17519632",iet computer vision,5.1,0.807,"0,561",39,1.484,0.00148,Q2,X
17264529,international journal of simulation modelling,5.1,1.21,"0,713",28,2.775,0.00072,Q2,X
10580530,information systems management,5,1.498,"0,811",61,3.882,0.00084,Q2,W
"19389027, 15266133",journal of electronic commerce research,4.9,1.205,"0,872",37,4,0.00051,Q2,W
"00207179, 13665820",international journal of control,4.8,1.153,"0,928",119,2.102,0.00764,Q2,W
14726947,bmc medical informatics and decision making,4.6,1.387,"0,833",79,3.298,0.00955,Q2,W
"18686486, 18686478",evolving systems,4.6,1.044,"0,585",28,2.347,0.00063,Q2,X
"19450818, 15391523",journal of research on technology in education,4.6,1.708,"1,078",67,3.281,0.00124,Q1,W
"0030364X, 15265463",operations research,4.6,2.103,"3,615",145,3.924,0.01151,Q1,W
"1994036X, 19913761",international journal of design,4.5,1.688,"0,529",44,1.512,0.00047,Q2,X
15209202,it professional,4.5,1.045,"0,774",54,2.59,0.00157,Q2,W
"14321769, 09328092",machine vision and applications,4.5,1.045,"0,745",70,2.983,0.00187,Q2,W
"02635747, 14698668",robotica,4.4,1.143,"0,590",67,2.406,0.00214,Q2,W
"13892576, 15737632",genetic programming and evolvable machines,4.3,1.036,"0,904",41,2.522,0.00046,Q2,X
"14738724, 14738716",information visualization,4.3,1.465,"0,580",49,2.174,0.00066,Q2,W
"15677818, 15729796",natural computing,4.3,1.232,"0,584",42,1.504,0.0013,Q2,X
"14684527, 14684535",online information review,4.3,1.077,"0,630",64,2.901,0.00217,Q2,W
"21676461, 2167647X",big data,4.2,1.647,"0,643",31,4.426,0.00168,Q2,W
"03081079, 15635104",international journal of general systems,4.2,1.397,"0,720",50,2.435,0.00085,Q2,X
"00207721, 14645319",international journal of systems science,4.2,0.716,"0,741",74,2.648,0.00649,Q2,W
24699322,computer assisted surgery,4.1,1.157,"0,410",65,2.357,0.00047,Q3,X
9555986,flow measurement and instrumentation,4.1,1.76,"0,634",61,2.42,0.0023,Q2,W
"1478596X, 14785951",international journal of medical robotics and computer assisted surgery,4.1,1.234,"0,557",56,2.483,0.00305,Q2,W
2665611,inverse problems,4.1,1.284,"1,005",117,2.408,0.0082,Q1,W
"14321378, 09332790",journal of cryptology,4.1,1.907,"0,884",77,1.691,0.00092,Q2,W
23527110,softwarex,4.1,1.458,"0,644",27,2.868,0.00365,Q2,X
18690327,applied clinical informatics,4,1.192,"0,755",31,2.762,0.00281,Q2,W
20552076,digital health,4,1.387,"0,836",15,4.687,0.00256,Q2,W
17519659,iet image processing,4,0.828,"0,536",49,1.773,0.00431,Q2,X
"09255001, 15732916",journal of global optimization,4,1.535,"0,962",89,1.996,0.00483,Q2,W
"14779730, 0031868X",photogrammetric record,4,1.049,"0,515",52,2.618,0.00046,Q2,X
"15581195, 10493301",acm transactions on modeling and computer simulation,3.9,0.993,"0,419",52,0.851,0.0004,Q3,X
22131337,astronomy and computing,3.9,0.847,"0,688",27,2.78,0.00197,Q2,W
"09650393, 1361651X",modelling and simulation in materials science and engineering,3.9,0.887,"0,624",84,2.421,0.00336,Q2,W
"22134808, 22134794",multisensory research,3.9,0.722,"0,480",52,2.352,0.00108,Q3,X
"09249907, 15737683",journal of mathematical imaging and vision,3.8,1.189,"0,752",76,1.627,0.00229,Q2,W
"10919856, 15265528",informs journal on computing,3.7,1.823,"1,580",82,3.288,0.00319,Q1,W
"01976729, 20423195",journal of advanced transportation,3.7,1.038,"0,569",51,2.249,0.00556,Q2,W
"02776693, 1099131X",journal of forecasting,3.7,0.948,"0,594",63,2.627,0.00165,Q2,X
20507445,heritage science,3.6,1.477,"0,634",25,2.843,0.00218,Q2,W
"10970363, 02712091",international journal for numerical methods in fluids,3.6,1.075,"0,895",117,1.847,0.0036,Q2,W
"20908873, 20908865",journal of analytical methods in chemistry,3.6,0.725,"0,359",29,2.594,0.00191,Q3,X
"15265471, 0364765X",mathematics of operations research,3.6,2.229,"1,804",81,2.215,0.00617,Q1,W
"01691864, 15685535",advanced robotics,3.5,1.013,"0,736",67,2.057,0.00221,Q2,W
"1097007X, 00989886",international journal of circuit theory and applications,3.5,0.963,"0,450",52,2.378,0.00165,Q3,X
"1572834X, 09296212",wireless personal communications,3.5,0.873,"0,481",65,2.017,0.00852,Q3,X
17518628,iet communications,3.4,0.599,"0,476",63,1.345,0.00422,Q3,X
"18625347, 18625355",advances in data analysis and classification,3.3,1.64,"0,852",32,1.944,0.00161,Q2,W
"09277099, 15729974",computational economics,3.3,1.015,"0,454",43,1.741,0.00177,Q3,X
11769343,evolutionary bioinformatics,3.2,0.558,"0,572",32,2.031,0.00084,Q2,X
"10981098, 08999457",international journal of imaging systems and technology,3.2,0.917,"0,539",49,2.177,0.00098,Q2,X
23273097,journal of aerospace information systems,3.2,0.916,"0,470",35,1.444,0.00064,Q3,X
2640473,electronic library,3.1,1.197,"0,443",41,1.675,0.00091,Q3,X
"23813121, 01626434",journal of special education technology,3.1,1.308,"0,646",35,1.734,0.00065,Q2,X
16711793,journal of systems engineering and electronics,3.1,0.833,"0,437",36,1.363,0.00143,Q3,X
7181876,journal of theoretical and applied electronic commerce research,3.1,2.003,"0,566",33,5.318,0.00039,Q2,X
3772063,iete journal of research,2.9,0.699,"0,316",28,1.877,0.0014,Q3,X
2188430,international journal of cooperative information systems,2.9,0.481,"0,240",46,0.563,6.00E-05,Q4,Y
"14768259, 10255842",computer methods in biomechanics and biomedical engineering,2.8,0.926,"0,439",61,1.669,0.00345,Q3,X
"14320541, 01784617",algorithmica,2.7,1.236,"0,958",75,0.909,0.00431,Q1,W
"03155986, 19160615",infor,2.7,0.881,"0,579",34,1.047,0.00039,Q2,X
200190,information processing letters,2.6,0.804,"0,521",79,0.851,0.00221,Q2,X
"10627375, 15337995",journal of global information management,2.6,0.864,"0,469",42,3.474,0.00038,Q3,X
"18686354, 18686346",laboratory phonology,2.6,1.199,"0,976",10,1.761,0.00089,Q2,X
"10224793, 26814617",acta acustica,2.5,0.694,"0,365",60,1.355,9.00E-05,Q3,X
1392124X,information technology and control,2.5,0.449,"0,332",20,0.813,0.00026,Q3,Y
"17415985, 17415977",inverse problems in science and engineering,2.5,1.038,"0,408",34,1.44,0.00161,Q3,X
"02197200, 17576334",journal of bioinformatics and computational biology,2.4,0.363,"0,288",45,1.204,0.00055,Q3,X
"09601295, 14698072",mathematical structures in computer science,2.3,1.202,"0,676",41,0.616,0.00124,Q2,X
"20557671, 2055768X",digital scholarship in the humanities,2.2,1.296,"0,422",18,1.299,0.00171,Q3,X
"17415276, 02675730",international journal of technology management,2.2,0.552,"0,359",61,1.526,0.00055,Q3,X
"1560229X, 10179909",journal of electronic imaging,2.2,0.452,"0,314",68,0.829,0.00202,Q3,X
13873954,mathematical and computer modelling of dynamical systems,2.2,0.759,"0,286",34,1.286,0.00032,Q3,X
"1556181X, 15561801",networks and heterogeneous media,2.2,0.855,"0,599",33,1.41,0.00111,Q2,X
"25917811, 25917285",journal of theoretical and computational acoustics,2.1,0.931,"0,427",40,1.013,0.00026,Q3,X
"17407842, 13614568",new review of hypermedia and multimedia,2.1,0.581,"0,318",32,1.278,0.00012,Q3,X
"19321864, 19321872",statistical analysis and data mining,2.1,0.776,"0,472",34,1.247,0.00103,Q3,X
23339403,ieee transactions on computational imaging,2,1.233,"1,093",13,4.708,0.00568,Q1,W
"00231584, 16083210",kinetics and catalysis,1.9,0.671,"0,322",36,1.399,0.00069,Q3,X
"15737187, 00405833",theory and decision,1.9,0.984,"0,488",40,0.802,0.00116,Q3,X
"15322467, 01630563",numerical functional analysis and optimization,1.8,0.99,"0,522",47,1.418,0.00194,Q2,X
"0424267X, 18423264",economic computation and economic cybernetics studies and research,1.6,0.649,"0,252",20,0.899,0.00046,Q4,Y
"24721832, 24721840",international journal of aerospace psychology,1.4,0.553,"0,183",46,0.613,0.00011,Q4,Y
"14601559, 17552850",journal of computational finance,1.4,0.858,"0,276",14,1.417,0.00039,Q3,X
"14684349, 17415233",progress in computational fluid dynamics,1.4,0.523,"0,242",31,0.839,0.00029,Q4,Y
"19433522, 10623701",journal of imaging science and technology,1.1,0.422,"0,216",42,0.578,0.00036,Q4,Y
"1875919X, 10589244",scientific programming,1.1,0.884,"0,399",36,1.672,0.00099,Q3,X
"01489267, 15315169",computer music journal,1,1.071,"0,115",42,0.688,0.00015,Q4,Y
"18726305, 15662535",information fusion,28.4,5.032,"4,557",120,17.564,0.01682,Q1,W
"03600300, 15577341",acm computing surveys,28,7.766,"5,090",172,14.324,0.01766,Q1,W
"15582256, 00189219",proceedings of the ieee,25.3,4.366,"4,678",296,14.91,0.02691,Q1,W
9638687,journal of strategic information systems,22.6,5.3,"4,021",94,14.682,0.00244,Q1,W
19493053,ieee transactions on smart grid,22.5,3.082,"5,251",189,10.275,0.05683,Q1,W
1663615,computers in industry,16.9,3.448,"2,427",108,11.245,0.00698,Q1,W
22106502,swarm and evolutionary computation,16.4,2.991,"2,722",75,10.267,0.00804,Q1,W
19493045,ieee transactions on affective computing,16.3,3.768,"3,266",73,13.99,0.00512,Q1,W
"10946705, 15527379",journal of service research,16.3,3.648,"4,010",130,10.052,0.0041,Q1,W
2786125,journal of manufacturing systems,15,3.439,"2,950",80,9.498,0.00581,Q1,W
7475632,computers in human behavior,14.9,3.234,"2,174",203,8.957,0.05434,Q1,W
20958099,engineering,14.5,3.168,"1,614",59,12.834,0.01056,Q1,W
15740137,computer science review,14.3,4.79,"2,562",49,8.757,0.00258,Q1,W
15455971,ieee transactions on dependable and secure computing,13.5,3.294,"2,265",84,6.791,0.00484,Q1,W
"14664437, 02683962",journal of information technology,12.8,3.128,"2,229",82,5.15,0.00173,Q1,W
14717727,information and organization,12.7,3.417,"3,623",65,5.387,0.00146,Q1,W
21921962,human-centric computing and information sciences,11.7,2.722,"1,777",40,6.558,0.00134,Q1,W
"14774054, 14675463",briefings in bioinformatics,11.6,3.293,"3,032",121,13.994,0.02026,Q1,W
"01485598, 1573689X",journal of medical systems,11.5,1.742,"1,131",89,4.92,0.00946,Q1,W
1679236,decision support systems,11.3,2.661,"1,973",161,6.969,0.0075,Q1,W
"0960085X, 14769344",european journal of information systems,11.1,2.879,"2,201",113,9.011,0.00324,Q1,W
"1997003X, 19942060",engineering applications of computational fluid mechanics,10.9,2.427,"1,239",40,6.519,0.00246,Q1,W
3772217,european journal of operational research,10.5,2.815,"2,354",274,6.363,0.04317,Q1,W
"18659284, 18659292",memetic computing,10,1.522,"1,344",34,3.577,0.00095,Q1,W
"15561607, 15561615",international journal of computer-supported collaborative learning,9.5,3.052,"2,688",58,5.611,0.00132,Q1,W
"21926611, 2192662X",international journal of multimedia information retrieval,9.4,2.218,"1,174",22,2.553,0.00059,Q1,W
"10730516, 15577325",acm transactions on computer-human interaction,9.2,2.675,"0,820",95,4.106,0.00143,Q2,W
1641212,journal of systems and software,8.9,2.157,"1,418",113,3.514,0.00666,Q1,W
104655,computer physics communications,8.8,2.238,"1,284",186,4.717,0.02144,Q1,W
18777503,journal of computational science,8.8,1.73,"0,991",52,3.817,0.0048,Q1,W
"15577317, 00010782",communications of the acm,8.7,3.014,"1,564",220,14.065,0.01964,Q1,W
"15327051, 07370024",human-computer interaction,8.7,1.695,"0,685",73,6.459,0.00093,Q2,W
2329924X,ieee transactions on computational social systems,8.6,1.483,"1,368",33,4.747,0.00258,Q1,W
2721732,ieee micro,8.2,2.15,"1,312",95,2.821,0.00245,Q1,W
"13658816, 13658824",international journal of geographical information science,8.2,1.753,"1,144",121,5.152,0.00565,Q1,W
17410398,journal of enterprise information management,8.2,1.511,"0,968",67,5.661,0.002,Q1,W
"10668888, 0949877X",vldb journal,7.8,2.769,"1,722",91,4.243,0.00248,Q1,W
1569190X,simulation modelling practice and theory,7.5,1.554,"1,011",73,4.199,0.00285,Q1,W
"15392791, 15590089",neuroinformatics,7.3,1.341,"1,037",60,2.864,0.00292,Q1,W
"15728080, 09295585",design automation for embedded systems,7.2,1.415,"0,460",32,1,0.00013,Q3,X
"01972243, 10876537",information society,7.2,1.88,"0,995",78,2.522,0.00144,Q1,W
13837621,journal of systems architecture,7.2,1.845,"1,283",53,5.836,0.00203,Q1,W
3064379,information systems,7.1,1.903,"1,000",88,3.18,0.00214,Q1,W
1476072X,international journal of health geographics,7.1,1.642,"1,047",81,5.31,0.00243,Q1,W
23327790,ieee transactions on big data,6.9,1.791,"0,656",10,4.271,0.00191,Q2,X
"18754805, 18754791",international journal of social robotics,6.9,2.355,"1,110",57,3.802,0.0027,Q1,W
"01655515, 17416485",journal of information science,6.9,1.631,"0,761",69,2.462,0.00188,Q2,W
"24712566, 24712574",acm transactions on privacy and security,6.8,1.986,"1,276",17,2.717,0.00063,Q1,W
"09473602, 1432010X",requirements engineering,6.8,2.047,"1,063",59,2.275,0.00062,Q1,W
"19367406, 19367414",acm transactions on reconfigurable technology and systems,6.7,1.442,"0,884",29,2.837,0.00054,Q1,W
"08852308, 10958363",computer speech and language,6.7,1.667,"0,769",72,3.252,0.00224,Q2,W
21693536,ieee access,6.7,1.326,"0,927",158,3.476,0.24936,Q1,W
"18685145, 18685137",journal of ambient intelligence and humanized computing,6.5,1.69,"0,913",52,3.662,0.00821,Q1,W
"14243210, 14248220",sensors,6.4,1.42,"0,803",196,3.847,0.1247,Q2,W
13895753,electronic commerce research,6.3,1.34,"0,680",43,3.462,0.00116,Q2,W
8684952,informatica,6.2,0.814,"0,607",41,3.429,0.00059,Q2,X
3085961,telecommunications policy,6.2,1.866,"1,203",74,4.497,0.00275,Q1,W
9270256,computational materials science,6.1,1.078,"0,777",126,3.572,0.02003,Q1,W
15564681,acm transactions on knowledge discovery from data,6,2.008,"1,566",60,4.157,0.00239,Q1,W
"21518556, 00188646",ibm journal of research and development,6,1.679,"0,712",96,2.605,0.00104,Q2,W
19466226,acm transactions on computing education,5.9,2.156,"0,990",37,2.493,0.00069,Q1,W
"15579999, 10638210",ieee transactions on very large scale integration (vlsi) systems,5.9,1.474,"0,834",109,2.775,0.00777,Q2,W
"16875281, 16875176",eurasip journal on image and video processing,5.7,1.478,"0,651",45,2.399,0.0016,Q2,W
"17580374, 17580366",international journal of bio-inspired computation,5.5,1.033,"0,835",40,3.295,0.0009,Q1,W
16179846,information systems and e-business management,5.3,1.211,"0,851",40,2.775,0.0009,Q2,W
"07342071, 15577333",acm transactions on computer systems,5.2,1.996,"0,801",70,1.692,0.00021,Q1,W
"15737624, 13846175",geoinformatica,5.2,1.337,"0,661",58,2.773,0.00071,Q2,W
"20952228, 20952236",frontiers of computer science,5,1.182,"0,863",38,2.669,0.00216,Q1,W
"10943420, 17412846",international journal of high performance computing applications,5,1.08,"0,482",62,2.82,0.0014,Q3,X
"15730484, 09208542",journal of supercomputing,4.8,1.158,"0,727",68,2.557,0.00639,Q2,W
"15554139, 15554120",games and culture,4.7,2.078,"0,889",51,2.18,0.00162,Q2,W
3784754,mathematics and computers in simulation,4.7,1.258,"0,639",80,3.601,0.00453,Q2,W
18759521,entertainment computing,4.5,1.266,"0,460",31,2.072,0.00054,Q3,X
"14320770, 03401200",biological cybernetics,4.4,1.15,"0,717",98,3.072,0.00094,Q2,W
10994300,entropy,4.4,1.084,"0,553",81,2.738,0.02216,Q2,W
15566056,ieee computer architecture letters,4.4,0.908,"0,716",36,2.118,0.00076,Q2,X
"00975397, 10957111",siam journal on computing,4.4,1.921,"2,349",116,1.475,0.00508,Q1,W
"10990542, 10613773",computer applications in engineering education,4.2,1.28,"0,594",32,2.109,0.00149,Q2,X
"15326969, 10407413",ecological psychology,4.2,1.309,"0,594",50,1.688,0.00044,Q2,X
"14332779, 14332787",international journal on software tools for technology transfer,4.2,1.151,"0,507",56,1.256,0.00075,Q2,X
"18618200, 18618219",journal of real-time image processing,4.2,1.008,"0,523",36,2.293,0.00189,Q2,X
"15443965, 15443558",acm transactions on applied perception,4.1,0.928,"0,491",53,1.676,0.00045,Q2,X
"1573501X, 13811991",molecular diversity,4.1,0.79,"0,403",58,3.364,0.00174,Q3,X
"18758533, 15705838",applied ontology,4,1.281,"0,562",30,1.367,0.00018,Q2,X
1381298X,computational and mathematical organization theory,4,1.344,"0,537",28,1.902,0.00037,Q2,X
"17837677, 17838738",journal on multimodal user interfaces,4,1.145,"0,426",28,1.694,0.00059,Q3,X
"15574644, 03625915",acm transactions on database systems,3.9,1.471,"1,117",83,1.629,0.00127,Q1,W
"16875273, 16875265",computational intelligence and neuroscience,3.9,1.559,"0,863",61,3.12,0.00472,Q1,W
1419382,displays,3.9,1.319,"0,393",59,3.074,0.00078,Q3,X
8857458,international journal of parallel programming,3.9,0.811,"0,499",36,1.447,0.0006,Q2,X
"1097198X, 23336846",journal of global information technology management,3.9,1.147,"0,610",33,3.444,0.00038,Q2,X
7378831,library hi tech,3.9,1.183,"0,467",41,1.623,0.00086,Q3,X
19430663,ieee embedded systems letters,3.7,0.795,"0,449",28,1.524,0.00039,Q2,X
"08927022, 10290435",molecular simulation,3.7,0.602,"0,390",59,2.346,0.00313,Q3,X
"12201766, 1841429X",studies in informatics and control,3.7,0.823,"0,507",26,1.826,0.00044,Q2,X
"20503806, 20503814",aslib journal of information management,3.6,1.048,"0,535",44,1.935,0.00103,Q2,X
"10762787, 10990526",complexity,3.5,0.766,"0,463",66,2.121,0.01143,Q2,W
"15504832, 15504840",acm journal on emerging technologies in computing systems,3.4,0.884,"0,530",40,2.013,0.00104,Q2,X
15533077,acm transactions on storage,3.4,0.941,"0,451",45,1.229,0.00056,Q3,X
"12256463, 22337326",etri journal,3.4,0.76,"0,484",47,1.622,0.00086,Q2,X
"18756891, 18756883",international journal of computational intelligence systems,3.4,0.915,"0,492",45,2.259,0.00172,Q2,X
"15720381, 15720373",interaction studies,3.2,0.661,"0,337",38,1.512,0.00047,Q3,X
"14602067, 00104620",computer journal,3.1,0.88,"0,561",67,1.762,0.00209,Q2,W
"18737951, 09535438",interacting with computers,3.1,1.096,"0,373",86,1.623,0.00065,Q3,X
220418,journal of documentation,3.1,1.557,"0,632",67,2.034,0.00179,Q2,W
51144,automatika,3,0.738,"0,404",24,1.79,0.0005,Q2,X
"15338010, 10638016",journal of database management,3,1.138,"0,587",34,2.656,0.00017,Q2,X
25149288,data technologies and applications,2.9,0.806,"0,332",29,1.713,0.00023,Q3,X
1635808,sigmod record,2.9,0.966,"0,913",144,1.432,0.0006,Q1,W
"16876172, 16876180",eurasip journal on advances in signal processing,2.8,0.925,"0,489",90,1.759,0.0015,Q3,X
"15728102, 09259856",formal methods in system design,2.8,1.274,"0,502",54,1.1,0.00059,Q3,X
"08887985, 15587959",journal of information systems,2.8,1.112,"1,183",36,2.308,0.00115,Q1,W
"0948695X, 09486968",journal of universal computer science,2.7,0.717,"0,390",54,1.056,0.00062,Q2,X
"23754699, 23754702",acm transactions on asian and low-resource language information processing,2.6,1.158,"0,457",15,1.471,0.00052,Q2,X
"15293785, 1557945X",acm transactions on computational logic,2.6,0.987,"0,755",49,0.898,0.00068,Q1,X
10043756,journal of systems science and systems engineering,2.6,0.583,"0,338",30,1.265,0.00041,Q3,X
"18447600, 15827445",advances in electrical and computer engineering,2.5,0.545,"0,281",25,0.825,0.00027,Q3,X
